icd_code,event_norm_code,icd_version,long_title,dx_manual_dialysis,dx_hemodialysis_or_unspecified,dx_peritoneal_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
43884,43884,9,"Other late effects of cerebrovascular disease, ataxia",0,0,0,0,0,0,1
41012,41012,9,"Acute myocardial infarction of other anterior wall, subsequent episode of care",0,0,0,0,0,1,0
41002,41002,9,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",0,0,0,0,0,1,0
43300,43300,9,Occlusion and stenosis of basilar artery without mention of cerebral infarction,0,0,0,0,0,0,1
43885,43885,9,"Other late effects of cerebrovascular disease, vertigo",0,0,0,0,0,0,1
V562,V562,9,Fitting and adjustment of peritoneal dialysis catheter,1,0,1,0,0,0,0
41070,41070,9,"Subendocardial infarction, episode of care unspecified",0,0,0,0,0,1,0
43842,43842,9,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting nondominant side",0,0,0,0,0,0,1
41090,41090,9,"Acute myocardial infarction of unspecified site, episode of care unspecified",0,0,0,0,0,1,0
I214,I214,10,Non-ST elevation (NSTEMI) myocardial infarction,0,0,0,0,0,1,0
I5031,I5031,10,Acute diastolic (congestive) heart failure,0,0,0,0,1,0,0
I2109,I2109,10,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,0,0,0,0,0,1,0
I2119,I2119,10,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,0,0,0,0,0,1,0
I222,I222,10,Subsequent non-ST elevation (NSTEMI) myocardial infarction,0,0,0,0,0,1,0
I2111,I2111,10,ST elevation (STEMI) myocardial infarction involving right coronary artery,0,0,0,0,0,1,0
I6031,I6031,10,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery,0,0,0,0,0,0,1
I6032,I6032,10,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,0,0,0,0,0,0,1
I6329,I6329,10,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,0,0,0,0,0,0,1
I213,I213,10,ST elevation (STEMI) myocardial infarction of unspecified site,0,0,0,0,0,1,0
I2101,I2101,10,ST elevation (STEMI) myocardial infarction involving left main coronary artery,0,0,0,0,0,1,0
I63131,I63131,10,Cerebral infarction due to embolism of right carotid artery,0,0,0,0,0,0,1
I63419,I63419,10,Cerebral infarction due to embolism of unspecified middle cerebral artery,0,0,0,0,0,0,1
I63132,I63132,10,Cerebral infarction due to embolism of left carotid artery,0,0,0,0,0,0,1
I63432,I63432,10,Cerebral infarction due to embolism of left posterior cerebral artery,0,0,0,0,0,0,1
I6002,I6002,10,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation,0,0,0,0,0,0,1
I63542,I63542,10,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery,0,0,0,0,0,0,1
I63233,I63233,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries,0,0,0,0,0,0,1
I6389,I6389,10,Other cerebral infarction,0,0,0,0,0,0,1
I2102,I2102,10,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,0,0,0,0,0,1,0
I6302,I6302,10,Cerebral infarction due to thrombosis of basilar artery,0,0,0,0,0,0,1
I63312,I63312,10,Cerebral infarction due to thrombosis of left middle cerebral artery,0,0,0,0,0,0,1
I629,I629,10,"Nontraumatic intracranial hemorrhage, unspecified",0,0,0,0,0,0,1
I6322,I6322,10,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,0,0,0,0,0,0,1
I63231,I63231,10,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries,0,0,0,0,0,0,1
T85621A,T85621A,10,"Displacement of intraperitoneal dialysis catheter, initial encounter",0,0,1,0,0,0,0
