pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
168,25,35,0.888660115097788,0.8880475905348417,0.006175821683535698
169,158,262,0.8895991083531154,0.8757088777010346,0.13424558095929195
170,37,243,0.8912183847790307,0.8897247006166468,0.015315026947082533
171,255,143,0.8922614747830458,0.894117465250746,0.019454848554257165
172,245,143,0.8928537256663148,0.894117465250746,0.01327902687072191
173,155,143,0.8965649359338305,0.894117465250746,0.026119865124545782
174,33,143,0.8995213953439631,0.894117465250746,0.05841118054876748
175,157,143,0.8995217904405507,0.894117465250746,0.05841555193262504
176,241,143,0.9010457742365273,0.894117465250746,0.07539184040976732
177,263,143,0.9022238591274206,0.894117465250746,0.08867523866434768
178,151,143,0.9045035862191344,0.894117465250746,0.11479073240503501
179,153,143,0.9072569770296534,0.894117465250746,0.14708641921311605
